name,domain,ownership,region
Arcofina Group / Ardis,Consumer & Retail,private,Africa
Aswak Assalam,Consumer & Retail,private,Africa
Melcom Group,Consumer & Retail,private,Africa
Naivas,Consumer & Retail,private,Africa
Spar Nigeria,Consumer & Retail,private,Africa
Tuskys,Consumer & Retail,private,Africa
Absa Group,Financial Services,public,Africa
Banque Misr,Financial Services,state-owned,Africa
KCB Group,Financial Services,public,Africa
INPHA-Médis,Healthcare & Pharmaceuticals,private,Africa
Pharmaghreb,Healthcare & Pharmaceuticals,private,Africa
Pharma 5,Healthcare & Pharmaceuticals,private,Africa
SAIDAL Group,Healthcare & Pharmaceuticals,state-owned,Africa
Ingelec,Industry & Infrastructure,private,Africa
Nampower,Resources & Energy,state-owned,Africa
Sonelgaz,Resources & Energy,state-owned,Africa
Cell C,Technology,private,Africa
Ethio telecom,Technology,state-owned,Africa
Inwi,Technology,private,Africa
Rwandatel,Technology,state-owned,Africa
Emart,Consumer & Retail,public,Asia
JD.com,Consumer & Retail,public,Asia
Shinsegae,Consumer & Retail,public,Asia
Suning.com,Consumer & Retail,public,Asia
Bangkok Bank,Financial Services,public,Asia
China Construction Bank,Financial Services,state-owned,Asia
Emirates NBD,Financial Services,state-owned,Asia
HDFC Bank,Financial Services,public,Asia
State Bank of India,Financial Services,state-owned,Asia
Cipla,Healthcare & Pharmaceuticals,public,Asia
CapitaLand Group,Industry & Infrastructure,state-owned,Asia
Qatar Steel,Industry & Infrastructure,state-owned,Asia
SANY Group,Industry & Infrastructure,private,Asia
Toll Group,Industry & Infrastructure,private,Asia
NTPC,Resources & Energy,state-owned,Asia
Pertamina,Resources & Energy,state-owned,Asia
QatarEnergy,Resources & Energy,state-owned,Asia
Baidu,Technology,public,Asia
Etisalat,Technology,state-owned,Asia
Wipro,Technology,public,Asia
Aldi Einkauf,Consumer & Retail,private,Europe
Inditex,Consumer & Retail,public,Europe
JYSK,Consumer & Retail,private,Europe
Kesko,Consumer & Retail,public,Europe
Tesco,Consumer & Retail,public,Europe
Allianz,Financial Services,public,Europe
PKO Bank Polski,Financial Services,state-owned,Europe
Bayer,Healthcare & Pharmaceuticals,public,Europe
Ipsen,Healthcare & Pharmaceuticals,public,Europe
Merck,Healthcare & Pharmaceuticals,public,Europe
Polpharma,Healthcare & Pharmaceuticals,private,Europe
UCB,Healthcare & Pharmaceuticals,public,Europe
MBDA,Industry & Infrastructure,private,Europe
Navantia,Industry & Infrastructure,state-owned,Europe
Patria,Industry & Infrastructure,state-owned,Europe
Schenker,Industry & Infrastructure,state-owned,Europe
Trenitalia,Industry & Infrastructure,state-owned,Europe
OMV,Resources & Energy,state-owned,Europe
VERBUND,Resources & Energy,state-owned,Europe
Swisscom,Technology,state-owned,Europe
Meijer,Consumer & Retail,private,North America
Metro Inc.,Consumer & Retail,public,North America
Morgan Stanley,Financial Services,public,North America
TD Bank Group,Financial Services,public,North America
AbbVie,Healthcare & Pharmaceuticals,public,North America
Amgen,Healthcare & Pharmaceuticals,public,North America
Biogen,Healthcare & Pharmaceuticals,public,North America
Moderna,Healthcare & Pharmaceuticals,public,North America
Pfizer,Healthcare & Pharmaceuticals,public,North America
Peraton,Industry & Infrastructure,private,North America
SpaceX,Industry & Infrastructure,private,North America
BC Hydro,Resources & Energy,state-owned,North America
Hydro-Québec,Resources & Energy,state-owned,North America
Adobe,Technology,public,North America
Axtel,Technology,public,North America
CGI,Technology,public,North America
IBM,Technology,public,North America
Oracle,Technology,public,North America
Softtek,Technology,private,North America
TELUS,Technology,public,North America
JB Hi-Fi,Consumer & Retail,public,Oceania
AMP,Financial Services,public,Oceania
ASB Bank,Financial Services,private,Oceania
Fiji Development Bank,Financial Services,state-owned,Oceania
Kiwibank,Financial Services,state-owned,Oceania
CSL,Healthcare & Pharmaceuticals,public,Oceania
EBOS Group,Healthcare & Pharmaceuticals,public,Oceania
Healthscope,Healthcare & Pharmaceuticals,private,Oceania
Air Vanuatu,Industry & Infrastructure,state-owned,Oceania
Built,Industry & Infrastructure,private,Oceania
Fiji Airways,Industry & Infrastructure,state-owned,Oceania
Hawkins,Industry & Infrastructure,private,Oceania
Hindmarsh,Industry & Infrastructure,private,Oceania
Aurora Energy,Resources & Energy,state-owned,Oceania
Powerco,Resources & Energy,private,Oceania
Snowy Hydro,Resources & Energy,state-owned,Oceania
Synergy,Resources & Energy,state-owned,Oceania
TransGrid,Resources & Energy,state-owned,Oceania
MYOB Group,Technology,private,Oceania
Telikom,Technology,state-owned,Oceania
Sodimac,Consumer & Retail,private,South America
Ta-Ta,Consumer & Retail,private,South America
Banco Safra,Financial Services,private,South America
Banco de la Nación,Financial Services,state-owned,South America
Banco do Brasil,Financial Services,state-owned,South America
Caixa Econômica Federal,Financial Services,state-owned,South America
EMS,Healthcare & Pharmaceuticals,private,South America
Roemmers Group,Healthcare & Pharmaceuticals,private,South America
FixView,Industry & Infrastructure,private,South America
INVAP,Industry & Infrastructure,state-owned,South America
SISDEF,Industry & Infrastructure,private,South America
El Tejar,Resources & Energy,private,South America
PETROPERÚ,Resources & Energy,state-owned,South America
Pronaca,Resources & Energy,private,South America
Raízen,Resources & Energy,private,South America
Vicentin,Resources & Energy,private,South America
YPF,Resources & Energy,state-owned,South America
CI&T,Technology,public,South America
Sonda,Technology,public,South America
TOTVS,Technology,public,South America
