name,Gender,Grouped_Alignment
Elena Bonetti,Female,Center
Hillary Clinton,Female,Center
Inés Arrimadas,Female,Center
Kamala Harris,Female,Center
Laura Borràs,Female,Center
Maria Elena Boschi,Female,Center
Marlene Schiappa,Female,Center
Nancy Pelosi,Female,Center
Teresa Bellanova,Female,Center
Élisabeth Borne,Female,Center
Alexei Navalny,Male,Center
Bill Clinton,Male,Center
Bruno Le Maire,Male,Center
Chuck Schumer,Male,Center
Donald Tusk,Male,Center
Emmanuel Macron,Male,Center
Gavin Newsom,Male,Center
Joe Biden,Male,Center
Matteo Renzi,Male,Center
Puigdemont,Male,Center
Annalena Baerbock,Female,Center-Left
Annastacia Palaszczuk,Female,Center-Left
Annick Girardin,Female,Center-Left
Chrystia Freeland,Female,Center-Left
Jacinda Ardern,Female,Center-Left
Klara Dobrev,Female,Center-Left
María Jesús Montero,Female,Center-Left
Nicola Sturgeon,Female,Center-Left
Tatiana Moskalkova,Female,Center-Left
Tinne Van der Straeten,Female,Center-Left
Andrés Manuel López Obrador,Male,Center-Left
Jeremy Corbyn,Male,Center-Left
Josep Borrell,Male,Center-Left
Keir Starmer,Male,Center-Left
Nicola Zingaretti,Male,Center-Left
Olaf Scholz,Male,Center-Left
Pedro Sánchez,Male,Center-Left
Robert Habeck,Male,Center-Left
Roberto Speranza,Male,Center-Left
Sergio Mattarella,Male,Center-Left
Angela Merkel,Female,Center-Right
Katalin Novák,Female,Center-Right
Letizia Moratti,Female,Center-Right
Liz Truss,Female,Center-Right
Lyubov Sobol,Female,Center-Right
Raluca Turcan,Female,Center-Right
Sophie Wilmes,Female,Center-Right
Theresa May,Female,Center-Right
Ursula von der Leyen,Female,Center-Right
Yulia Tymoshenko,Female,Center-Right
Armin Laschet,Male,Center-Right
Boris Johnson,Male,Center-Right
Jens Spahn,Male,Center-Right
Markus Söder,Male,Center-Right
Matt Hancock,Male,Center-Right
Mikheil Saakashvili,Male,Center-Right
Petro Poroshenko,Male,Center-Right
Rishi Sunak,Male,Center-Right
Silvio Berlusconi,Male,Center-Right
Viktor Orbán,Male,Center-Right
Ella Pamfilova,Female,Far-Left
Ione Belarra,Female,Far-Left
Irene Montero,Female,Far-Left
Isabel Franco,Female,Far-Left
Janine Wissler,Female,Far-Left
Katja Kipping,Female,Far-Left
Mathilde Panot,Female,Far-Left
Mertxe Aizpurua,Female,Far-Left
Victoria Rosell,Female,Far-Left
Yolanda Díaz,Female,Far-Left
Alexander Bastrykin,Male,Far-Left
Alexei Kudrin,Male,Far-Left
Bodo Ramelow,Male,Far-Left
Dietmar Bartsch,Male,Far-Left
Herman Gref,Male,Far-Left
Jean-Luc Mélenchon,Male,Far-Left
José Luis Ábalos,Male,Far-Left
Leonid Kravchuk,Male,Far-Left
Pablo Iglesias Turrión,Male,Far-Left
Sergey Lavrov,Male,Far-Left
Alice Weidel,Female,Far-Right
Beatrix von Storch,Female,Far-Right
Giorgia Meloni,Female,Far-Right
Jayda Fransen,Female,Far-Right
Kaja Godek,Female,Far-Right
Macarena Olona,Female,Far-Right
Marine Le Pen,Female,Far-Right
Pauline Hanson,Female,Far-Right
Rocío Monasterio,Female,Far-Right
Tetiana Chornovol,Female,Far-Right
Björn Höcke,Male,Far-Right
Dmitry Rogozin,Male,Far-Right
Jair Bolsonaro,Male,Far-Right
La Russa,Male,Far-Right
Liviu Dragnea,Male,Far-Right
Nello Musumeci,Male,Far-Right
Santiago Abascal,Male,Far-Right
Sergey Furgal,Male,Far-Right
Vladimir Zhirinovsky,Male,Far-Right
Éric Zemmour,Male,Far-Right
Ada Colau,Female,Left
Anne Hidalgo,Female,Left
Delcy Rodríguez,Female,Left
Florence Parly,Female,Left
Laura Boldrini,Female,Left
Letitia James,Female,Left
Manuela Carmena,Female,Left
Mónica Oltra,Female,Left
Simonetta Sommaruga,Female,Left
Teresa Rodriguez,Female,Left
Alain Berset,Male,Left
Alberto Garzón,Male,Left
Christophe Castaner,Male,Left
François Hollande,Male,Left
Gennady Zyuganov,Male,Left
Luigi de Magistris,Male,Left
Nicolás Maduro,Male,Left
Olivier Dussopt,Male,Left
Yannick Jadot,Male,Left
Íñigo Errejón,Male,Left
Arlene Foster,Female,Right
Beata Szydło,Female,Right
Christine Lagarde,Female,Right
Cuca Gamarra,Female,Right
Elżbieta Witek,Female,Right
Isabel Díaz Ayuso,Female,Right
Lucia Borgonzoni,Female,Right
Seiko Hashimoto,Female,Right
Valérie Pécresse,Female,Right
Yuriko Koike,Female,Right
Benjamin Netanyahu,Male,Right
Donald Trump,Male,Right
George W. Bush,Male,Right
Mateusz Morawiecki,Male,Right
Matteo Salvini,Male,Right
Mike Pence,Male,Right
Mike Pompeo,Male,Right
Mitch McConnell,Male,Right
Pablo Casado,Male,Right
Rudy Giuliani,Male,Right
